open,close,high,low,value,volume,begin,end,end_time,time_diff
148.05,148.15,148.25,147.95,4553365.05,30759,2024-03-29 11:00:00,2024-03-29 11:59:59,11:59:59,0 days 00:00:01
150.3,150.35,150.35,150.15,6171658.100000001,41067,2024-04-01 11:00:00,2024-04-01 11:59:59,11:59:59,0 days 00:00:01
150.7,150.3,150.8,150.2,41694670.74999999,277372,2024-04-02 11:00:00,2024-04-02 11:59:59,11:59:59,0 days 00:00:01
151.55,151.35,151.85,151.3,8076954.5,53262,2024-04-03 11:00:00,2024-04-03 11:59:59,11:59:59,0 days 00:00:01
152.15,152.3,152.6,152.1,26397535.700000003,173268,2024-04-04 11:00:00,2024-04-04 11:59:59,11:59:59,0 days 00:00:01
152.1,152.1,152.1,151.95,2433724.7999999993,16005,2024-04-05 11:00:00,2024-04-05 11:59:59,11:59:59,0 days 00:00:01
152.7,152.8,153.0,152.5,12670073.249999993,82967,2024-04-08 11:00:00,2024-04-08 11:59:59,11:59:59,0 days 00:00:01
153.55,153.9,153.9,153.45,10900057.200000009,70910,2024-04-09 11:00:00,2024-04-09 11:59:59,11:59:59,0 days 00:00:01
153.05,153.05,153.25,152.9,3115757.1000000015,20349,2024-04-10 11:00:00,2024-04-10 11:59:59,11:59:59,0 days 00:00:01
154.25,154.15,154.3,153.95,3500537.25,22712,2024-04-11 11:00:00,2024-04-11 11:59:59,11:59:59,0 days 00:00:01
154.1,154.15,154.2,153.85,6048767.150000001,39273,2024-04-12 11:00:00,2024-04-12 11:59:59,11:59:59,0 days 00:00:01
154.55,154.55,154.9,154.25,118052897.50000034,764609,2024-04-15 11:00:00,2024-04-15 11:59:59,11:59:59,0 days 00:00:01
155.05,154.8,155.15,154.8,5092012.200000001,32869,2024-04-16 11:00:00,2024-04-16 11:59:59,11:59:59,0 days 00:00:01
155.15,155.0,155.15,154.9,26522161.400000002,170955,2024-04-17 11:00:00,2024-04-17 11:59:59,11:59:59,0 days 00:00:01
154.25,154.05,154.3,153.65,57804696.54999999,375375,2024-04-18 11:00:00,2024-04-18 11:59:59,11:59:59,0 days 00:00:01
154.55,154.6,154.75,154.4,8889170.500000002,57487,2024-04-19 11:00:00,2024-04-19 11:59:59,11:59:59,0 days 00:00:01
155.35,155.1,155.35,154.65,64605505.35000006,417199,2024-04-22 11:00:00,2024-04-22 11:59:59,11:59:59,0 days 00:00:01
155.55,155.45,155.8,155.25,43880839.85,282398,2024-04-23 11:00:00,2024-04-23 11:59:59,11:59:59,0 days 00:00:01
153.5,153.6,154.15,153.45,44597009.65000007,289605,2024-04-24 11:00:00,2024-04-24 11:59:59,11:59:59,0 days 00:00:01
153.2,153.4,153.5,153.2,3293869.0500000007,21478,2024-04-25 11:00:00,2024-04-25 11:59:59,11:59:59,0 days 00:00:01
154.25,154.45,154.55,154.25,4466164.550000001,28923,2024-04-26 11:00:00,2024-04-26 11:59:59,11:59:59,0 days 00:00:01
154.4,154.45,154.55,154.25,7854417.999999931,50894,2024-04-27 11:00:00,2024-04-27 11:59:59,11:59:59,0 days 00:00:01
155.25,155.15,155.4,155.1,6337539.349999938,40814,2024-04-29 11:00:00,2024-04-29 11:59:59,11:59:59,0 days 00:00:01
155.1,155.05,155.15,154.8,3233579.9499999983,20873,2024-04-30 11:00:00,2024-04-30 11:59:59,11:59:59,0 days 00:00:01
155.35,155.25,155.5,155.0,7739843.600000001,49861,2024-05-02 11:00:00,2024-05-02 11:59:59,11:59:59,0 days 00:00:01
153.75,153.35,153.8,153.2,8724010.800000003,56825,2024-05-03 11:00:00,2024-05-03 11:59:59,11:59:59,0 days 00:00:01
153.85,153.2,153.9,153.15,4019309.5500000003,26205,2024-05-06 11:00:00,2024-05-06 11:59:59,11:59:59,0 days 00:00:01
154.35,154.45,154.55,154.25,3919842.400000001,25387,2024-05-07 11:00:00,2024-05-07 11:59:59,11:59:59,0 days 00:00:01
154.95,155.0,155.2,154.9,5617523.149999996,36248,2024-05-08 11:00:00,2024-05-08 11:59:59,11:59:59,0 days 00:00:01
155.8,155.5,155.85,155.45,2230984.6,14331,2024-05-10 11:00:00,2024-05-10 11:59:59,11:59:59,0 days 00:00:01
156.5,156.7,156.7,156.3,2393681.05,15293,2024-05-13 11:00:00,2024-05-13 11:59:59,11:59:59,0 days 00:00:01
156.5,156.45,156.65,156.3,1972224.1500000004,12607,2024-05-14 11:00:00,2024-05-14 11:59:59,11:59:59,0 days 00:00:01
157.0,156.8,157.0,156.7,6297194.799999997,40156,2024-05-15 11:00:00,2024-05-15 11:59:59,11:59:59,0 days 00:00:01
157.2,157.25,157.4,157.05,2349340.4000000004,14943,2024-05-16 11:00:00,2024-05-16 11:59:59,11:59:59,0 days 00:00:01
157.9,157.9,158.0,157.75,4772941.1499999985,30233,2024-05-17 11:00:00,2024-05-17 11:59:59,11:59:59,0 days 00:00:01
158.35,157.9,158.4,157.85,13349417.700000001,84436,2024-05-20 11:00:00,2024-05-20 11:59:59,11:59:59,0 days 00:00:01
155.4,155.25,155.55,155.1,9138171.749999998,58833,2024-05-21 11:00:00,2024-05-21 11:59:59,11:59:59,0 days 00:00:01
155.75,155.95,156.0,155.65,3587200.6,23009,2024-05-22 11:00:00,2024-05-22 11:59:59,11:59:59,0 days 00:00:01
154.5,154.55,154.65,154.0,6809246.399999982,44103,2024-05-23 11:00:00,2024-05-23 11:59:59,11:59:59,0 days 00:00:01
154.85,154.65,155.0,154.55,2717958.9000000004,17557,2024-05-24 11:00:00,2024-05-24 11:59:59,11:59:59,0 days 00:00:01
151.4,151.45,151.85,151.05,23128103.14999999,152555,2024-05-27 11:00:00,2024-05-27 11:59:59,11:59:59,0 days 00:00:01
150.8,150.6,151.3,150.15,45223034.449999996,300211,2024-05-28 11:00:00,2024-05-28 11:59:59,11:59:59,0 days 00:00:01
149.1,149.2,149.65,149.05,3037584.150000001,20339,2024-05-29 11:00:00,2024-05-29 11:59:59,11:59:59,0 days 00:00:01
150.8,150.3,150.9,150.05,10720527.950000001,71288,2024-05-30 11:00:00,2024-05-30 11:59:59,11:59:59,0 days 00:00:01
